,index,image_path,sign_shape,isVal,labels_num
0,0,./trafficsigns_dataset\diamond\rightofway\00032_00000.png,diamond,1,1
1,1,./trafficsigns_dataset\diamond\rightofway\00032_00001.png,diamond,1,1
2,2,./trafficsigns_dataset\diamond\rightofway\00032_00002.png,diamond,1,1
3,3,./trafficsigns_dataset\diamond\rightofway\00037_00000.png,diamond,1,1
4,4,./trafficsigns_dataset\diamond\rightofway\00037_00001.png,diamond,1,1
5,5,./trafficsigns_dataset\diamond\rightofway\00037_00002.png,diamond,1,1
6,6,./trafficsigns_dataset\diamond\rightofway\00039_00000.png,diamond,1,1
7,7,./trafficsigns_dataset\diamond\rightofway\00039_00001.png,diamond,1,1
8,8,./trafficsigns_dataset\diamond\rightofway\00039_00002.png,diamond,1,1
9,9,./trafficsigns_dataset\diamond\rightofway\00042_00000.png,diamond,1,1
10,10,./trafficsigns_dataset\diamond\rightofway\00042_00001.png,diamond,1,1
11,11,./trafficsigns_dataset\diamond\rightofway\00042_00002.png,diamond,1,1
12,12,./trafficsigns_dataset\diamond\rightofway\00044_00000.png,diamond,1,1
13,13,./trafficsigns_dataset\diamond\rightofway\00044_00001.png,diamond,1,1
14,14,./trafficsigns_dataset\diamond\rightofway\00044_00002.png,diamond,1,1
15,15,./trafficsigns_dataset\diamond\rightofway\00045_00000.png,diamond,1,1
16,16,./trafficsigns_dataset\diamond\rightofway\00045_00001.png,diamond,1,1
17,17,./trafficsigns_dataset\diamond\rightofway\00045_00002.png,diamond,1,1
18,18,./trafficsigns_dataset\diamond\rightofway\00046_00000.png,diamond,1,1
19,19,./trafficsigns_dataset\diamond\rightofway\00046_00001.png,diamond,1,1
20,20,./trafficsigns_dataset\diamond\rightofway\00050_00000.png,diamond,1,1
21,21,./trafficsigns_dataset\diamond\rightofway\00050_00001.png,diamond,1,1
22,22,./trafficsigns_dataset\diamond\rightofway\00050_00002.png,diamond,1,1
23,23,./trafficsigns_dataset\diamond\rightofway\00060_00000.png,diamond,1,1
